word,definition
Piano,He piana.
Pie,He pai; mea ono.
Pine,Laau paina.
Pine,E hookii.
Poke,E hou.
Pole,"1. He oa; aho. 2. He pahu. Flag pole, pahu hae. 3. He ana. 4. He Welau. North Pole, Welau Akau."
Poli,Like me Mere.
Pope,Ke poo o ka hoomana katolika.
Puke,E luai; hoolualuai. SYN. vomit.
Wala,E hoomalu ana i ka puali.
We,"pl. Makou; (dual), maua."
Ripple,He onini; kahe nahe; owe nahe.
Stalk,"Kumu o ka laau liilii. Corn stalk, kumu kurina."
Stalk,E hele kikoo moau.
Coarse,Manoanoa; pakapaka. 2. Ano mahaoi; kamaniha; pawaa; kuaaina.
Lean,or adj. Wiwi; olala; kaha ole.
Lean,E hi-o'; e hilinai; e kalele.
Ripple,He onini; kahe nahe; owe nahe.
Stalk,"Kumu o ka laau liilii. Corn stalk, kumu kurina."
Stalk,E hele kikoo moau.
Coarse,Manoanoa; pakapaka. 2. Ano mahaoi; kamaniha; pawaa; kuaaina.
Lean,or adj. Wiwi; olala; kaha ole.
Lean,E hi-o'; e hilinai; e kalele.
Yes,adv. Ae; u; e.
Consent,"1. Ka ae ana. SYN, assent. 2. With one consent, me ka manao lokahi. SYN. unanimously."
Conform,v. E hookulike; kulike.
Grant,E ae; e haawi.
Agree,1. E ae like; e kuikahi; e lokahi. 2. E ku like; e kohu like.
Approve,E apono; e hoapono.
Let,"1. I. Let there be light, i malamalama. 2. O. Let us play, O, kakou i ka paani. 3. E ae. SYN. permit. 4. Ina. Let us go, ina kakou e hele. 5. E. Let us pray, e pule kakou."
Confirm,"v. 1. E hooia. SYN. verify, To confirm a statement, e hooia i ka oleio hoike. 2. E hookupaa. SYN. strengthen. To confirm in the truth, e hookupaa ma ka oiaio."
Admit,"1. E hookomo aku. Admit the bearer, e hookomo aku i ka mea nana keia i lawe. 2. See acknowledge. He admits his mistake, ke ae nei oia i kona lalau."
Permit,E ae. SYN. allow.
Permit,He palapala ae. SYN. license.
Allow,"E ae. SYN. permit. Allow me to go, e ae ia'u e hele."
Accept,"1. E ae; e lawe. Accept a report, e lawe i ka olelo hoike. Accept a proposition, e ae i ka manao."
Yield,v. 1. E hoohua mai. 2. E ae mamuli o ka makemake.
Yield,n. Hua loaa.
Permission,Ka ae. SYN. consent.
Sap,Ka wai o nameaulu.
Sap,E kohi malalo iho; e eli malalo iho. SYN. undermine.
Saliva,Wale.
Fine,n. Uku hoopai.
Fine,"adj. 1. Makalii, nawele. Fine thread, topi nawele. 2. Aeae. Fine dust, lepo aeae. 3. Nani; aulii; maikai."
Fine,v. E kau i ka uku hoopai.
Comminuted,Moka. SYN. broken fine.
Soft,Palupalu; pepe; wali; uouo'.
Smooth,1. Pahee; mania. SYN. glossy. 2. Malino; malie. SYN. calm.
Smooth,1. E hana a mania. 2. E hookaawale i na mea e keakea ana.
Rise,"1. E ala; e eu; e ku. 2. E puka. The sun rises, ke puka nei ka la. 3. E pii. Prices rise, pii na kumukuai."
Rise,Ka pii ana.
Step,"1. E hehi; e hele. Step quietly, e hele malie. 2. Step a mast, e kukulu i ke kia."
Top,1. Ko luna loa; welau; wekiu; piko. 2. He hu.
Tread,"1. E hehi. 2. To tread water, hoopinana."
Trespass,E komo hewa.
Trespass,1. Hewa; hala. 2. Komo hewa.
Raise,"1. E hoala; e hapai ae. SYN. lift. 2. E ulu; hoo-ulu. 3. E leha'e. Raise the eyes, e leha'e i na maka."
Blight,n. Kakani; ponalo.
Blight,"v. 1. E mae; e mimino. 2. E hoohoka. Blighted hope, manao lana i hoohokaia."
Upward,Iluna'e.
Contiguous,adj. E moe pili ana. SYN. adjacent.
Next,Kekahi ae.
Lend,"1. E haawi lilo ole. 2. E kokua. To lend a hand, e kokua."
Borrow,E noi i kekahi mea no ka wa pokole.
Pass,E maalo ae.
Pass,1. Wahi haahaa mawaena o na kuahiwi i hiki ke hele ia. 2. Palapala ae e hele. SYN. passport. 3. He ano; kulana. SYN. state; condition.
Wail,Leo kaniuhu'; uwe; leo pihe
Prolong,E hooloihi; hookaulua.
Stretch,"E hoohola. 2. E kikoo; e o. 3. Stretch out to dry, e kalena. 4. Stretching out, moau. 5. E hoomaloeloe. Stretch a rope, e hoomaloeloe i ke kaula."
Andante,"An-dăn'te, adj. Lolohi; malie; pili i ke mele ana."
Mix,1. E kawili pu; e hoohui. SYN. mingle. 2. E hoohuikau.
Banana,"Ba-nä'na, n. Maia. Banana skin, he paaa'. Peel a banana, e paaa! i ka maia."
Chant,v. E oli.
Eagle,Aeto.
Nui,"Extensive preparations, hoomakaukau nui. Extensive fire, he ahi nui."
Agreement,Olelo ae-like; palapala ae-like. SYN. contract. 2. Ke kulike ana; ka hookohu ana.
Contract,"v. 1. E hoohaiki. SYN. shrink. 2. E komo aku. Contract a debt, e komo i ka aie. SYN. incur. 3. E loaa. Contract a disease, e loaa i ka mai. SYN. incur. 4. E hooholo. To contract, to build a house, e hooholo e kukulu i hale. SYN. bargain."
Contract,n. He palapala ae like.
Truce,Kuikahi ku i ka wa.
Accord,E ku-like; e lokahi.
Deal,n. He haawina; he mahele.
Deal,"v. 1. E kalepa; e kuai. 2. E hana. Deal kindly with all, e hana aloha aku i na mea a pau."
Rotten,"1. Palaho; popopo; palakahuki. 2. Rotten egg, hua aelo."
Stilt,Kuku'luaeo.
Train,1. He poe ukali. SYN. retinue. 2. He mau kaa 1 kauoia e ka enikini mahu.
Train,"3. Hu-a aahu. SYN. trail. 4. A train of ideas, he mau kumu noonoo e pili pu ana."
Train,1. E ao. SYN. teach. 2. E hoolakalaka. SYN. break in. 3. E hoo-ulu pono.
Train,E ao. SYN. teach. E hoolakalaka. SYN. break in. E hoo-ulu pono.
Thin,"adj. 1. Lahilahi. (Of fluids.) 2. Thin in flesh, homa; wiwi; hakanele."
Tall,"adj. Kiekie. Tall and slender, pahio."
Weave,E ulana.
Sway,n. Ka noho aupuni ana; ka hoomalu ana.
Sway,"v. 1. E hoomalu. 2. Sway to and fro, e polewa; e luliluli."
Family,n. Ohana; mamo.
Lineage,Kuauhau.
Meeting,n. He halawai.
Assembly,"n. He aha; he anaina. Legislative Assembly, ahaolelo kau kanawai. Religious assembly, anaina haipule."
Gathering,"1. He anaina. SYN. assembly. 2. Ka mea i ohi ia; hooiliiliia, etc. 3. He puu ma ke kino."
Convention,"n. He aha; ahahui. A convention of teachers, he ahahui kumukula."
Court,"n. 1. Ka poe o ke alo moi. 2. He aha hookolokolo. 3. He pahale. 4. A court of inquiry, he aha ninaninau."
Court,v. 1. E hooipoipo; imi i wahine mare. 2. E imi me ka hoomalimali.
Party,"1. He poe. A party of boys, he poe keiki. 2. Poe ahaaina; poe hoolauna. 3. He aoao."
Cord,"1. Kaula makalii. 2. He paila. A cord of wood, he paila wahie."
Cord,"1. E nakii. Cord up the trunk, e nakii i ka pahu lole. 3. E paila."
String,He kaula liilii.
Measurement,n. Ke ana ana.
Prayer,n. He pule; he noi. SYN. supplication.
Service,"1. ka lawelawe ana. 2. Oihana. Government service, oihana aupuni. 3. He halawai. Religious service, halawai haipule. 4. Na lako no ka papa aina. A silver service, na lako kala'."
Four,E ha'; he kauna.
Why,No ke aha.
What,1. Heaha. 2. Ka mea.
What,Kai! What a bore! kai ka luhi!
Council,"Aha kuka'. privy council, aha kuka' malu'."
Society,"1. Ka noho pu ana o kanaka. 2. Ka launa ana. 3. He hui. A literary society, he hui imi naauao o na buke."
Club,He newa.
Association,"n. 1. Ka launa pu ana o na noonoo. 2. He aha; ahahui. Association for the advancement of knowledge, he ahahui no ka hooholo mua ana o ka ike. SYN. society."
Organization,He hui; ka hoohui ana.
Company,"1. He mau hoa. 2. He mau ohua. I have company at my house, he mau ohua ko'u ma ka hale. 3. He hui; he ahahui. 4. He puali. A great company, he puali nui."
Academy,1. He kula kiekie. 2. He ahahui imi naauao.
Ball,"Ball, n. 1. He anaina hula. 2. He kini popo. 3. He poka. Cannon ball, poka pukuniahi. 4. He popo. A ball of twine, he popo kuaina."
Worm,"n. Enuhe. Army worm, peelua. Worm of corruption, ilo. Cloth eating worm, hu'hu."
Carry,"1. E lawe; e hali; e halihali. 2. E amo. To carry on the shoulder. 3. To carry on the back, e waha; e haawe."
Chase,"v. E alualu ; e hahai. The chase, ka alualu holoholona."
Rout,E hoo-auhee. SYN. vanquish.
Flee,v. E holo hee; e auhee: e mahuka.
Run,1. E holo; e holo mama. 2. E kahe. SYN. flow.
Run,"He holo. 2. He wahi kahawai uuku. 3. He kikoo nui i ke dala ma ka baneko mamuli o ka maka'u. 4. Ke kau mau ana, A run of good luck, ke kau mau ana o ka pomaikai. 5. Ka hahai mau ana. Run of bad luck, ka hahai mau ana o ka poino."
Messenger,Mea i hoounaia; he elele.
Conference,n. 1. Ke kuka' pu ana. 2. He aha kuka'.
Rectangle,Huina kupono.
Hammock,Moe e lewa ana.
Entrails,Na naau liilii.
Legislature,Aha Olelo Kau Kanawai.
Congress,"n. 1. Ka aha kau kanawai o Amerika Huipuia. 2. He anaina kuka'. A congress of nations, k e anaina kuka o na lahui."
Overflow,E manini; e hu; huliamahi.
Exclaim,E kahea nui; e hoo'ho.
So,Pe; penei.
So,Nolaila.
Oh,Auwe!
Cough,He kunu.
Timid,Pihoihoi; hopohopo; puiwa.
Shy,Hopohopo; wiwo wale; palaimaka. SYN. timid.
Wary,1. Noonoo akahele. SYN. cautious. 2. Kuoo; makaala i na pilikia.
Breeze,"He makani oluolu; makani aniani; he ahe. Beeeze up, e aniani; e koaniani."
Blow,v. He haua; he kui.
Blow,"v. 1. E puhi; pa mai; nou. 2. Blow the nose, e hooke' ka ihu. 3. E haanou; e kaena. SYN. brag; boast. 4. E paupauaho. SYN. pant."
Breathe,E hanu; e ha.
Waft,1. E peahi ; e ani. 2. E halihali.
Condemn,v. E hoahewa i ka hoopai.SYN. sentence.
Blame,v. E hewa; hoahewa. SYN. censure.
Blame,"n. 1. Ka ahewa i kau ia maluna o kekahi. 2. Ka hewa. You are to blame, nau ka bewa."
Censure,Olelo hoahewa. SYN. rebuke.
Reproach,He kumu e hoahewa ai.
Convict,"v. E ahewa. Convicted of stealing, ahewaia no ka aihue."
Convict,n. He paahao; mea i ahewaiia no ke karaima.
Condemnation,"n, Ka ahewa ana;ka hoopai ana."
Conviction,n. 1. Ka ahewa ana; ka ahewa ana o ka naau no ka hewa.
Walleyed,"Makapaa. A walleyed horse, he lio makapaa."
Crosseyed,adj. Maka ahewa.
Faded,adj. Ahiahia. SYN. bleached.
Tinder,i Pulupulu ho-a' ahi.
Evening,Ka na-po' ana o ka la; ke ahiahi; ka liula'.
Afternoon,Auina la.
Volcano,1. Mauna pele; luapele. 2. Ahiaihonua (old).
Fireworks,n. Na ahi kaolele.
Rocket,Ahikaolele.
Skyrocket,Ahikaolele. SYN. rocket.
Lazy,Molowa; palaualelo.
Indolent,adj. Luana wale; molowa. SYN. slothful.
Loiter,E hoololohi; nahili; manuka'.
Wind,1. E wili ; e owili. 2. E hoa.
Wind,"Makani. Against the wind, manai. To raise the wind, e loaa i ke dala . To get wind, e lohe ; e laha. The story got wind, ua laha ka olelo."
Line,"1. He kaha (Geom.) 2. Kaula. SYN. rope. 3. Aho. SYN. fishing line. 4. Lalani; rank. Line of soldiers, lalani koa. 4. Line of poetry, lalani mele. 6. Ano. Line of goods, he ano waiwai kuai. 7. He hapa-12 o ka iniha. 8. Palapala pokole. Write a line, kakau i palapala pokole, or kakaui wahi leta iki. 9. Ka Poaiwaena-honua. SYN. Equator."
Line,E uhi oloko.
Breath,Ka hanu; ke aho; ke ea.
Preferable,adj. Aho ia.
Well,Lua wai; lua.
Well,E puai mai.
Well,Mai ole; pla pono.
Well,"1. Pono; me ka pololei. 2. Ae. Well, and what did he say? Ae, a heaha kana i olelo?"
Wellbeing,See welfare.
Fortunate,Pomaikai.
Need,He nele; he mea e pono ai. SYN. necessity
Need,Pilikia no ka nele; e nele
Patient,Mea i lapaauia.
Patient,Ahonui; hoomanawanui.
Endure,"1. E hoomanawanui; e ahonui. 2. E mau. Endure for ever, e mau a mau loa."
Suffer,1. E hoomanawanui i ka eha. 2. E ae mamuli o ke koi ana. SYN. permit.
Tolerate,E ahonui; e hoomanawanui.
Heap,He ahua ; he puu.
Heap,E hoo-ahu.
Pile,1. He ahua. 2. He pou loihi.
Pile,E hooahu; e hooiliili; e paila.
Collection,1. Ka hooahu ana; ka hooiliili ana. 2. He ahua.
Mound,He puu; he ahua.
Mass,"1. He ahu; he ahua. The masses, ka lehulehu. 2. He pule o ka hoomana Roma."
Altar,"He kuahu; wahi mohai. Family altar, ka pule ohana."
Covering,n. Mea uhi.
Cape,1. He lae o ka aina. 2. Kihei liilii no na poohiwi.
Shirt,Palule.
Coat,"1. He ku'ka. 2. A coat of paint, hookahi hamo ana i ka pena. 2. Coat of arms, he hoailona no ke kulana o ke kanaka."
Mat,Moena.
Cloak,He kapa uhi; he koloka.
Cloak,E uhi; e huna'.
Swell,v. E pehu; e haanou.
Swell,n. 1. Ale ha'ha' o ke kai. 2. Kanaka hookahakaha.
Tremendous,Weliweli ka nui.
Young,"adj. Opiopio; hou; ui. 2. Young fruit, hua maka; oo ole. 3. Young animals, holoholona opiopio. 4. Young children, keiki hou; keiki opiopio. 5. Young persons, poe u'i."
Stone,"1. He pohaku. 2. He ana kaumaha, 14 paona."
Stone,E hailuku i ka pohaku; e nou i ka pohaku.
Slaughter,1. E pepehi wale. 2. E luku wale.
Pestilence,Mai ahulau.
Epidemic,He mai laha.
Chief,n. He alii; kiaaina.
Chief,adj. Ka mua; ke poo o ka hana; ka mea nui.
Division,"1. Puunaue; mahele. A division of property, he mahele o ka waiwai. 2. Mokuahana. A division in the family, he mokuahana ma ka ohana."
Storehouse,Hale hoo-ahu waiwai; hale papaa.
Goods,"Na waiwai liilii o kela me keia ano. Dry-goods, na lole kuai o na. ano a pau."
Conspicuous,adj. Moakaka.; ike lea ia. SYN. plain.
Prominent,"Kiekie; ohuku. A prominent man, he kanaka kiekie; kanaka koikoi."
Obvious,Maopopo lea; moakaka. SYN. evident.
Food,Ai. SYN. provisions.
Harvest,Ka wa ohi.
Harvest,E ohi.
Destroy,t. E luku; e hoopoino.
Consume,"v. 1. E hoopau; e luku. SYN. destroy. 2. E ai. To consume food, e ai i ka ai."
Taste,v. E hoao; e koni.
Taste,n. 1. Mikioi; maiau. 2. Ka ike o ke alelo ma na mea ai.
Grasp,E apo.
Grasp,"1. He apo lima. 2. The grasp of thought, ke apo ana i ka manao."
Edible,SYN eatable.
Score,"1. Iwakalua. Three-score and ten, ekolu iwakalua me ka umi. 2. He papa kakau kaha. 3. To pay up old scores, e hookaa i na aie kahiko; e hopu no na hala kahiko."
Score,"1. E kakau kaha. To score a game, e eo ma na kaha. 2. To score up against one, e hoomauhala."
Stake,"1. Pahu. 2. Waiwai pili. 3. Kuleana. A stake in the country, he he kuleana iloko o ka aina. 4. Reputation at stake, e poino paha ka inoa maikai."
Wager,E pili waiwai. SYN. bet.
Neck,A-i
Cohabit,E noho pu he kane he wahine.
Point,1. He piko; welau. 2. Kumu-manao. SYN. subject matter. 3. He lae.
Point,E kuhikuhi.
Credit,"n. 1. He kumu mahalo. A studious pupil is a credit to his teacher, o ka haumana imi he kumu mahalo oia i kana kumu. 2. Ka hooaie'. To give credit, e hooaie aku. 3. Ka aoao hookaa o na mooaie."
Credit,v. 1. E lelepau; e hilinai. SYN. trust; believe. 2. E kakau ma lea aoao hookaa.
Take,"v. 1. E lawe; e hopu; e hoopaa. 2. Take aim, e hoopololei i ka pu. To take breath, e hanu; e hoomaha. To take care, e akahele; e malama. To take down, e hoohaahaa. SYN. write down, e kakau iho. Take down pride, e hoohaahaa i ka haaheo. Take down a house, e wawahi i ka hale. To take effect as a law, e lilo i kanawai. To take effect as medicine, e naha'. To take heart, e hoolana i ka manao. To take heed, e noonoo pono. To take in, e hoopunihei; e hoopuni. To take in sail, e li ka pea. To take in the meaning, e hoomaopepo. To take in hand, e hoao e hana. To take leave of, e haawi i ke aloha hookaamwale. To take notice, e nana mai. To take off, e wehe. To take on one's self, e hapai i ke kaumaha. To take offense, e hunu. To take out a stain, e holoi i ka paele. To take part with, e kokua pu. To take place, e ko. To take root, e hookumu. To take advantage of, e apo i ka pomaikai; e hana maalea. To take the air, e hele i ka holoholo. To take to heart, e hookomo ma ka naau. To take up, e hapai ae. To take up the time, e hoopiha i ka manawa. To take up arms, e hoomakaukau no ke kaua. To take time, e lawe i manawa kupono. To take up residence, e noho paa. To take up a thief, e hopu i ka aihue. To take up room, e hoopiha wale. To take up a note, e hookaa. i ka bila aie."
Collar,A-i kala; a-iku.
Godless,Nele i ke Akua ole; aia'.
Irreligious,Hoomaloka; aia'.
Wicked,Hewa; ino. SYN. sinful.
Behold,"Be-hōld', interj. Aia hoi! Aia la! SYN. lo!"
Lo,Aia hoi! SYN. behold.
Suddenly,Emo ole.
Fair,"adj. 1. Pono; kaulike. 2. Onaona; upalu. A fair woman, he wahine onaona. 3. Maikai. Fair weather, wa maikai."
Fair,n. He fea. SYN. exhibition.
White,Keokeo; kea.
Clear,"1. E hoopakele; e hookuu. To clear a prisoner, e hookuu i ka paahao. 2. E wehe. To clear up a difficulty, e wehe i ka hihia. 2. The weather begins to clear, ke hoomaka mai nei ka malie. 4. Clear out a house, e hookaawale i ka hale. 5. Clear out! e hele pela!"
Clear,"1. Moakaka; maopopo. 2. Huaka; aiai. Clear water, wai huaka. 3. Laelae. A clear day, he la laelae. 4. Kalae. A clear atmosphere, he ea kalae"
Pure,Maemae; makamae.
Brilliant,1. Alohilohi; olinolino; wakawaka. 2. Mikioi.
Dependent,Hilinai.
Transparent,Aiai; moakaka.
Unsteady,Onioni; luliluli.
Rule,He loina; rula. SYN. regulation.
Rule,1. E noho aupuni; noho alii. 2. E lanakila. SYN. triumph. 3. E kaha lalani. 4. E hoomalu. SYN. govern.
Attendant,"1. He mea lawelawe. 2. He mea hele mau. An attendant at church, he mea hele mau i ka halawai."
Iron,Hao.
Press,v. 1. E kaomi; e uwi. SYN. squeeze. 2. E hoo-ke'. SYN. crowd. 3. E kono ikaika. SYN. urge. 4. E hii; hiipoi. SYN. embrace.
Press,n. 1. Mikini kaomi. 2. He pai palapala. 3. Na palapala i paiia o na ano a pau. 4. Puuluulu o kanaka. SYN. crowd.
Debt,Aie.
Debt,n. Aie.
Owe,E aie.
Loan,1. Mea i haawiia no ka manawa. 2. Dala hoo-aie'.
Vagabond,Aea haukae; he hoomalau.
Roam,E auwana hele; holoholo.
Cannibal,Kanaka ai kanaka.
Jabber,E walaau wale; e namunamu.
Peer,"He hoa. 2. Peer of the realm, he'lii o ke aupuni."
Croup,n. Naeoa'iku'.
Turpentine,Wai hoomaloo pen a.
There,adv. 1. Malaila; ma-o'; i-o'. 2. Aia la!
Oil,Aila.
Oil,E kahinu; e hamo me ka aila.
Island,Mokupuni.
Grease,Aila hamo.
Grease,E hamo i ka aila.
Lard,Aila puaa.
Eat,E ai; e pai'na.
Bundle,"1. Pu-a, Bundle of wheat, pua' huita. 2. He puolo. A bundle of papers, he puolo pepa. 3. Bundle of poi, pai ai; holoai. 4. Olaolao; laolao; ope."
Bundle,E puolo; e pua; e ope; e hoolaolao.
Fold,"l. He opi; he pelu. 2. He pa. Sheep fold, pa-hipa. Fourfold, pa-ha'."
Fold,E opiopi; e pelu ae.
Gather,1. E hooakoakoa. SYN. assemble. 2. E hooiliili. SYN. collect things. 3. E hoouluulu. SYN. collect animals together. 4. E ohi. SYN. gather fruit. 5. E hooahu. SYN. hoard.
Struggle,1. E hooikaika. 2. Aumeume; hakaka; paio.
Struggle,"1. He hooikaika nui. 2. He hakaka; paio; kaua. Struggle ineffectually, e uilani."
Gasp,E hanupaa. E mauliawa.
Pant,"1. E naenae; paupauaho. 2. E ahaha'. The dog pants, ahaha ka ilio."
Twitch,E huki ino; e kaili ino. SYN. jerk.
Jerk,huki ino.
Pull,"1. E huki; e uhuki. 2. E hoe. SYN. row. 3. Pull fruit from a tree, e lou'lu."
Skilled,Akamai; makaukau.
Adept,"He mea makaukau; mea akamai. An adept at lying, he mea makaukau i ka wahahee."
Expert,Noeau; akamai. SYN. skilful; handy.
Proficient,Makaukau; akamai.
Meal,n. 1. Palaoa o kela me keia ano. 2. He pa-i'na.
International,Mawaena o na aupuni.
Homestead,Ke kuleana o ka ho'me.
Kilipaki,Kaulana.
Land,Aina.
Land,E hoopae iuka; e lele iuka; e pae.
Rent,1. He nahaehae; he mawae. 2. Uku aina; uku hale.
Rent,"E hoolimalima aina, a hale paha."
Tax,n. He auhau.
Tax,v. 1. E auhau. 2. E ahewa. SYN. accuse.
Power,n. Mana.
Continent,n. Mahele aina nui.
Temper,"n. 1. Ke ano o ka naau. Good temper, ano oluolu. Bad temper, ano huhu wale. 2. Ke degere o ka paakiki o ka metala."
Mumps,Mai pehu ma ka papalina.
Scrofula,Ka alaala.
Gulp,E moni me ka pono ole.
Choke,v. 1. (From violence.) E umi. SYN. strangle. 2. (From eating or drinking.) E puua; laowa. SYN. strangle; suffocate.
Suffocate,E kalea; uumi; puna.
Encircle,E hoopuni; e poai a puni.
Around,"prep. A puni. All around, ma na wahi a pau e puni ana."
Steward,1. Kuene. 2. Luna malama waiwai.
Nine,Eiwa.
