word,definition
Aloha ʻĀina,"No base definition, only supplemental content.<br>1. Beach, southwest shore, Kahoʻolawe. An otherwise unnamed calcareous sand beach near Makaʻalae. In 1976, a group called the Protect Kahoʻolawe ʻOhana dedicated itself to stopping the U.S. Navy's bombing of Kahoʻolawe and to preserving the cultural, historical, and environmental integrity of the island. The group's efforts evolved into a statewide movement that was finally rewarded on May 8, 1994, when the island was returned to state ownership. In 1982, several of the group's members secretly paddled to Kahoʻolawe to occupy the island in protest of the RIMPAC exercises. They eluded the military search parties, but wanted to make sure the navy knew that they were there. On the side of a sand dune in this small unnamed bay, with large driftwood letters they spelled out ""Aloha ʻĀina,"" the group's motto. The beach has since been known by this name.<br>2. Park, Pearl Harbor, Oʻahu. On the shore near the Pearl Harbor Officers' Club.<br><br>Literally, love [of the] land.<br> Nā Lepili <br> Tags: Kahoʻolawe Oʻahu <br> Papa helu loli"
Alula,"Beach, Honokōhau, Hawaiʻi. Small calcareous sand and lava fragment beach at the entrance to Honokōhau Small Boat Harbor. Also known as Manta Ray Beach.<br> Nā Lepili <br> Tags: Hawaiʻi <br> Papa helu loli"
ʻAnini,"1. Beach park, channel, ramp, reef, snorkeling site, windsurf site, ʻAnini, Kauaʻi. Narrow calcareous sand beach inshore of ʻAnini Reef, one of the longest and widest fringing reefs in Hawaiʻi at 2 miles long and 1,600 feet wide at its widest point. The beach park is midway along the beach. ʻAnini Channel, a wide sand-bottomed channel, cuts through the reef to the west of the beach park. The windsurf site, especially good for beginners, is west of the boat ramp. The snorkeling site is west of the channel. The ramp facility in the beach park is for smaller, shallow-draft boats. Lit., dwarfish, stunted."
Apo,"Pond, Miloliʻi, Hawaiʻi. Large natural pond south of Miloliʻi Beach Park that is used as an anchorage for shallow-draft boats. Named for the Apo family living onshore."
Āpua,"Point, surf site, Hawaiʻi Volcanoes National Park, Hawaiʻi. Coastal campsite on a low, flat, rocky point that marks the coastal boundary between the districts of Puna and Kaʻū. The surf site is on the west side of the point. Also known as Trains.<br>Coastal plain, Kualoa, Oʻahu. The land that comprises Kualoa Regional Park.<br><br>moʻolelo<br>I was born in 1915 on Gandle Lane in Honolulu, but we moved to Hilo in April 1924 when my dad got a job there. He was the court reporter, the only one in town. We lived there until 1930 when we moved back to Honolulu, and I transferred from Hilo High to McKinley. During those five years on the Big lsland my dad organized about eight goat drives in Kīlauea National Park. The Board of Agriculture was trying to protect the park and the grazing lands, and they encouraged the drives and paid half the cost. Whoever did the drive, though, had to dispose of the goats, and our drives netted from seven hundred to four thousand goats per drive.<br><br>We had relatives in Kalapana, the Lane family, and I spent several summers with them. From the Lanes we knew some of the other Kalapana families such as the Pea's, Hauanio's, Kaipo's, and Kamelamela's. My dad would hire about thirty of them as cowboys and pay them five dollars a day, plus their meals. They had to bring their own horses. They rode mauka and stayed overnight at ʻĀinahou Ranch before starting the drive.<br><br>The first day the cowboys would fan out from the Chain of Craters to Hilina Pali and slowly herd the goats toward ʻĀpua Point on the ocean. ʻĀpua was the first night's stop. The cowboys kept about one-quarter mile behind the goats so they wouldn't get spooked and bolt. A fence was laid flat across the point and when the goats were driven over it, the cowboys raised it, penning the goats. The point was surrounded by water. The Pea family was from ʻĀpua, and told my dad that the 1868 tidal wave had wiped out their village, so they had moved to Kalapana. They still knew the area well, and everyone got water from the brackish water well for their former village. lt was within 150 feet of the point and could only be reached by climbing down into a deep crack.<br>On one drive I got lost in the Kaʻū Desert. A violent sand-storm swept over us and I lost sight of the other riders. My horse stepped in a hole, reared up to free his foot, and I slid off. I hit the ground really hard, but jumped up right away to grab him. Luckily, he was only walking. My dad had told me many times if I was ever lost to just give the horse its head. I did and he walked us back toward ʻĀpua Point.<br>The second stop was Kaʻena where there was another pen, and by then the goats were tired and easy to handle. They were almost like a domesticated herd. At the last stop in Punaluʻu, the goats were penned, slaughtered, and skinned immediately. The hides were salted and placed in the shade to cure, and the car-casses were thrown in the ocean for the sharks. After the hides were cured, they were bundled, trucked to Hilo, and shipped to the mainland.<br>George V. Clark, August 31, 1980<br><br><br>During the evenings on the goat drives, the cowboys would sit around talking and joking, and sometimes tell riddles. This is one that I remember:<br>O keia kanaka nui Nui kona leo Lohe na poʻe apau Ma ka laho.<br>In English it means:<br>This is a big man He has a loud voice All of the people hear him From his balls.<br>The answer is a church bell.<br>John Lane, July 28, 1982<br><br><br><br><br>Literally, fish basket or fish trap.<br><br> Nā Lepili <br> Tags: Hawaiʻi Oʻahu <br> Papa helu loli"
ʻAukai,"Beach Park (.2 acres), Hauʻula, Oʻahu. Across the street from Hauʻula Fire Station. Alfred ʻAukai ʻAluli was the owner of the property when it was condemned for a public park.<br> Nā Lepili <br> Tags: Oʻahu <br> Papa helu loli"
ʻAwahua,"Beach, Kalaupapa, Molokaʻi. One of five beaches on the Kalaupapa Peninsula. Long, wide detrital sand beach at the foot of the Kalaupapa Trail on the west side of the peninsula. Also known as Black Sands Beach, Ke One Neʻe o ʻAwahua, and Puahi. Lit., bitterness."
ʻĀweoweo,"Beach park (1.4 acres), surf site, Mokulēʻia, Oʻahu. The park was named for the street that leads to it from Waialua Beach Road. The surf site is off the beach park and is also known as Au Street, Pyramids. Literally, bigeye or scad fish (Priacanthidae family). The streets in this subdivision are named for Hawaiian fish.<br> Nā Lepili <br> Tags: Oʻahu <br> Papa helu loli"
Āwili,"1. Bay, fishing site, Keaukaha, Hawaiʻi. 2. Beach, fishing site, point, Manukā, Hawaiʻi. Black sand beach on the south side of ʻĀwili Point at the base of a small littoral cone. Near the end of Road to the Sea. The point is one of the Big Island's famous ulua fishing sites. Lit., swirl."
ʻEhukai,"Beach park (1.2 acres), surf site, Sunset Beach, Oʻahu. The park provides the primary public access point to the world-famous Banzai Pipeline. The surf site ʻEhukai is off the park. Also known as Sandbars. Lit., sea spray."
Hāʻena,"1. Beach park, Hāʻena, Kauaʻi. Calcareous sand beach bordering the wide bay between Mākua Reef to the east and Hauwa Reef to the west, with vegetated sand dunes in the backshore. Across the road from Maniniholo Cave. 2. Point, Hāʻena, Kauaʻi. Wide point inshore of Mākua Reef to the east of Hāʻena Beach Park. Also known as Tunnels. 3. State park (230 acres), Hāʻena, Kauaʻi. Calcareous sand beach between Limahuli Stream and the end of Highway 56. Fronted by shallow reefs and backed by dunes vegetated with ironwood trees. The west end of the park, or Kēʻē Beach, is the start of the 11-mile Kalalau Trail to Kalalau Valley. Several important archaeological sites associated with the hula are located here, including Ke Ahu o Laka, a platform where the hula was performed, and Kauluapaoa Heiau, a temple dedicated to Laka, the deity of the hula. The house on the point belonged to John Allerton and was acquired by the state upon his death in 1986. Lit., red-hot."
Haili,"Rock, Hāna, Maui. Stone on the south side of Paʻiloa Bay in Waiʻānapanapa State Park that resembles two fingers forming a victory or peace sign. Lit., loving memory."
Hālawa,"Beach, beach park, surf site, Hālawa, Molokaʻi. Hālawa is one of six coastal valleys on Molokaʻi's north shore and was formerly a fishing and commercial taro farming community. It is the only one of the valleys that is accessible by road. The tsunamis of 1946 and 1957 destroyed the taro patches and marked the end of commercial taro farming. Hālawa Beach is actually two detrital sand beaches, one on either side of the rocky point in the middle of the bay. The beach to the west of the point was called Māʻalaea and is used as an anchorage and boat launching site. The beach to the east was called Kāwili. The surf site is off the point in the center of the bay. Facilities in the beach park were built in 1968. Lit., curve."
Hale,See Isaac Hale.
Halemanō,"Surf site, Kaʻalāwai, Oʻahu. The Littlejohn family has lived and surfed at Kaʻalāwai for many years. During the 1930s when Bill Littlejohn began surfing at Black Point at the east end of Kaʻalāwai Beach, he named the site Halemanō, “house [of the] shark,” for the numerous sharks that he saw there. Halemanō is now commonly mispronounced “Halemanu.” The surf site is off the public right-of-way on Kaikoʻo Place. Also known as Kaikoʻo.<br> Nā Lepili <br> Tags: Oʻahu <br> Papa helu loli"
Hālena,"Beach, camp, surf site, Hālena, Molokaʻi. Calcareous sand beach fronting the ruins of a former Boy Scout camp. George P. Cooke, the first president of Molokaʻi Ranch, was an enthusiastic scouting supporter and sponsored the construction of Camp Hālena, a cluster of small cabins and related buildings on Hālena Beach. Hālena was once noted for its gold to cream-colored beach rock that was cut into stepping-stones for foot-paths and patios. The surf site is off the beach. Lit., yellowish."
Hale o Lono,"1. Beach, Hale o Lono, Molokaʻi. Long, narrow<br>calcareous sand beach to the west of the harbor. 2. Small Boat Harbor, Hale o Lono, Molokaʻi. Facilities include undesignated moorings. Construction of the harbor by Honolulu Construction and Draying Company, Ltd. (now Ameron<br>Hawaiʻi) began in 1959 and was completed several years later.<br>It includes an entrance channel, two breakwaters, and a turning basin. Commercial use of the harbor proved to be of<br>marginal value due to heavy surges from seasonal high<br>surf, and it was eventually abandoned. The harbor has been<br>the staging area and starting line for the annual Molokaʻi to<br>Oʻahu outrigger canoe races since 1963. Kawākiu was the<br>site of the original start. Also known as Lono Harbor. 3. Surf<br>site, Hale o Lono, Molokaʻi. Off the west side of the harbor.<br>Also known as Lono's. Lit., house of Lono. Heiau with this<br>name for the worship of the god Lono are found on all of<br>the islands."
Hālona,"Blowhole, Hawaiʻi Kai, Oʻahu. Blowholes are narrow chimneys that connect lava terraces to sea caves or lava tubes below them. Waves rolling into the sea caves or lava tubes force a powerful rush of compressed air, spray, and white-water through the chimneys that erupts on the terraces as spectacular fountains. Blowholes are sometimes called ""spouting horns"" because of the loud roaring noises created by the rushing air and water coming up the chimney. The blowhole at Hālona Point is one of Oʻahu's famous visitor attractions.<br>Cove, Hawaiʻi Kai, Oʻahu. Small cove west of the blowhole with a pocket of calcareous sand. Also known as Cockroach Bay or Gulch, From Here to Eternity Beach, Eternity Beach.<br>Point, Hawaiʻi Kai, Oʻahu. Rocky point at the west end of Sandy Beach that is a popular visitor stop for the blowhole and for viewing the island of Molokaʻi.<br><br><br>Literally, [a] lookout.<br><br> Nā Lepili <br> Tags: Oʻahu <br> Papa helu loli"
Hāna,"Beach park, Hāna, Maui. A 700-foot-long calcareous sand beach fronts the park between the wharf and the pilings of the former Hāna Landing.<br>Ramp and Wharf, Hāna, Maui. The 300-foot-long wharf was no longer used for inter-island shipping once Hāna was connected to Kahului Harbor by road. The Hāna Highway, a 52-mile paved road, opened as a dirt road in 1927. Facilities for boaters include ten moorings, a ramp, a pier, and a vessel washdown area.<br><br><br>Literally, work or profession. The goddess Luʻukia was said to have taught tapa beating to the women of Hāna in a cave called Hāna o Luʻukia, or the ""work of Luʻukia.""<br><br> Nā Lepili <br> Tags: Maui <br> Papa helu loli"
Hanalei,"1. Bay, Hanalei, Kauaʻi. Semicircle-shaped bay that is the largest on Kauaʻi. A calcareous sand beach 2 miles long lines the head of the bay between the Hanalei River to the east and the Waikoko Reef to the west. Three beach parks are located on the beach: Black Pot, Hanalei Pavilion, and Waiʻoli. 2. Offshore mooring, Hanalei, Kauaʻi. Designated area<br>for a hundred moorings off Hanalei Pier on a sandy bottom at a depth of approximately 35 feet. Popular summer anchorage for yachts and other large boats. 3. Pier, Hanalei, Kauaʻi. The 300-foot pier at the east end of Hanalei Bay was an interisland<br>steamer landing. The original pier was built in the 1890s and later improved with a concrete deck in the 1920s to accommodate the large quantities of rice that Hanalei farmers were<br>shipping out of the valley. Commercial rice shipping activity ended in 1933 when California rice growers dominated the market, undercutting the price of Hawaiian rice. Since then the pier has been used as an ocean recreation facility, primarily for fishing and swimming. A surf site for beginners is on the west side of the pier. 4. River, Hanalei, Kauaʻi. Hanalei River, one of the few navigable rivers in Hawaiʻi, is famous among Hawaiians for its native biota, including ʻoʻopu (goby fish), ʻōpae (shrimp), and hīhīwai (mollusks), and for providing water to the inland taro fields. The river is also popular for kayaking and outrigger canoe paddling. 5. River landing, Hanalei, Kauaʻi. Boat landing on the west bank of the river adjacent to Black Pot Beach Park. Facilities include one ramp. The river mouth is normally barred by beach sand, allowing access to the ocean only for shallow-draft boats. 6. Surf site, Hanalei, Kauaʻi. Off the mouth of the Hanalei River. There are three sections within the site: Impossibles (the takeoff), Flat Rock (the center), and the Bowl (the end). Also known as The Bay. Lit., crescent bay."
Hanapēpē,"1. Bay, beach park, Hanapēpē, Kauaʻi. The beach park is at the west end of Hanapēpē Bay where it is fronted by a seawall. 2. Light, Hanapēpē, Kauaʻi. Established in 1902. The light is atop a 20-foot pole. Lit., crushed bay (due to landslides)."
Haneoʻo,"Fishpond, Hāna, Maui. Private fishpond south of Koki Beach Park. Lit., [a] strong blow."
Hāpuna,"Bay, beach, surf site, Hāpuna, Hawaiʻi. Flat calcareous sand beach fronted by a shallow sandbar that is the longest and widest calcareous sand beach on the island. During the summer months, the beach is 200 feet wide. A state park borders the south half of the beach, and the Hāpuna Beach Prince Hotel borders the north half. The surf site is a shorebreak on the sandbar. State law permits only bodysurfing and body-boarding in the shorebreak. Board surfing is not allowed. Hāpuna is the island's most popular beach, with beachgoers often driving from every corner of the island on weekends and holidays. The 1.1-mile Big Island Rough Water Swim has been held here every summer since 1979. The racecourse circles the bay.<br><br>Literally, spring.<br><br> Nā Lepili <br> Tags: Hawaiʻi <br> Papa helu loli"
Hāʻula,"Beach, Māhāʻulepū, Kauaʻi. Small pocket beach of calcareous sand at the head of a large cove between Paʻoʻo and Naʻakea Points. A flat, rocky shelf fronts the beach and dunes up to 100 feet high line the backshore. Lit., reddish."
Hauna,"Fishpond, Keaukaha, Hawaiʻi. Fishpond within Lokowaka Fishpond. Lit., fishy smell or stench."
Hikauhi,"Fishpond, Kaunakakai, Molokaʻi. Name of the daughter of Chief Hoʻolehua.<br> Nā Lepili <br> Tags: Molokaʻi <br> Papa helu loli"
Hilo,"Bay, breakwater, Hilo, Hawaiʻi. Construction of the Hilo Breakwater across Hilo Bay was undertaken in three sections, which were completed respectively in 1910, 1911, and 1929. The third section extended the breakwater to its present length of 10,070 feet, or 1.9 miles.<br>Harbor, Hilo, Hawaiʻi. Hilo Harbor was created by building the Hilo Breakwater seaward of Kūhiō Bay, a large, natural deepwater gap in the fringing reef at Waiākea, and then by enlarging the gap to form the harbor basin. A deepwater channel was dredged into the bay in 1914, and from 1925 to 1930 additional dredging operations enlarged the bay to form the present harbor basin. Piers 1, 2, and 3 were built during this period. Hilo Harbor is one of the Big Island's two deep-draft harbors; the other is Kawaihae Harbor.<br>Harbor range lights, Hilo, Hawaiʻi. Navigational aids for boats entering the harbor. Name of the first night of the new moon; also a legendary navigator.<br><br> Nā Lepili <br> Tags: Hawaiʻi <br> Papa helu loli"
Hoaloha,"Park, Kahului, Maui. Beach park on the shore of Kahului Harbor that was developed, landscaped, and named under the guidance of Helen Toms (1910-1990). In 1970, as the charter president of the newly formed Soroptimist Club, Toms suggested to the members that the club improve the site as a community service project. They agreed, and the park was opened on Kamehameha Day, June 11, 1971. Hoaloha means ""friends"" and was chosen to recognize the united efforts of the community to create the park. Literally, beloved companion.<br> Nā Lepili <br> Tags: Maui <br> Papa helu loli"
Hōkūloa,"1. Church, Puakō, Hawaiʻi. On the shore of Puakō. One<br>of fourteen churches built by the Reverend Lorenzo Lyons, it<br>was dedicated on March 21, 1859. Lyons was a noted Hawaiian<br>linguist and composed many songs before his death in 1886.<br>""Hawaiʻi Aloha,"" his most famous composition, was rediscovered during activist movements in the 1970s and has become<br>the unofficial state anthem. 2. Church, Punaluʻu, Hawaiʻi. On<br>a hill overlooking Punaluʻu Beach. Memorial chapel for Henry<br>Opukahaia (1792-1818), the Hawaiian whose conversion to<br>Christianity in Connecticut was in part responsible for the<br>arrival of the first Christian missionaries in Hawaiʻi in 1820.<br>Constructed by the Congregational Christian Churches of<br>Hawaiʻi and completed on April 20, 1957. Lit., morning star<br>or Venus. Hōkūloa, or Hokuao as it is alternately known, is<br>the morning star, which is actually the planet Venus seen in the morning. It has long been associated with the American Protestant Mission in Hawaiʻi and was the name of their ship that served Micronesia."
Honolulu,"No base definition, only supplemental content.<br>1. Landing, Puna, Hawaiʻi. One of many former ship landings that were established around the island during the late 1800s and early 1900s, and also one of Puna's famous ʻopihi harvesting sites.<br>2. Channel, Honolulu, Oʻahu. Main entrance channel into Honolulu Harbor. The first non-Hawaiian to negotiate what was originally a narrow gap through the reef was Captain William Brown, who in 1794 sailed his schooner Jackall through the channel into the harbor.<br>3. Harbor, Honolulu, Oʻahu. Primary deep-draft harbor in Hawaiʻi. Honolulu Harbor is controlled by the Harbors Division, State of Hawaiʻi Department of Transportation. Vessel communications are coordinated through Aloha Tower, the traffic control center for the harbor. Commercial tugs and barges based in the harbor transship freight from Oʻahu to the neighbor islands.<br>4. Harbor light, Honolulu, Oʻahu. Established in 1869 at the harbor entrance and relocated to the top of Aloha Tower when it was built in 1926. Relocated again in 1975 to a 95-foot pole at Pier 2 when its light became indistinguishable from the lights of the high-rise buildings inland of Aloha Tower.<br><br>Literally, protected bay.<br> Papa helu loli"
Honopū,"1. Beach, surf site, Nā Pali, Kauaʻi. One of five beaches within Nā Pali Coast State Park and the most photographed of these beaches. The beach is actually two large pockets of calcareous sand at the base of a sea cliff. Honopū Valley is above the sea cliff, approximately 150 above sea level. The pocket beaches are separated by a wave-cut sea arch approximately 65 feet high and 200 feet wide, fronted by shallow sandbars, and backed by vegetated dunes. A waterfall on the sea cliffs falls into the backshore and runs through the arch. The surf site is a shorebreak on the sandbars. 2. Bay, southwest shore, Lānaʻi. Site of the Nānāhoa Islands. Lit., conch bay."
Hoʻokena,"Beach park, dive site, landing, surf site, ramp, Hoʻokena, Hawaiʻi. Large pocket of white and detrital sand in the north corner of Kauhakō Bay. The foreshore is primarily rocky, but the beach is used as a landing for ʻōpelu fishing canoes. The dive site and surf site are off the beach. Ruins of the former interisland steamer landing are on the shore of the beach park. Facilities include a ramp. Also known as Cooper Landing, Kupa Landing, Kauhakō Ramp.<br><br>Literally, to satisfy thirst.<br><br> Nā Lepili <br> Tags: Hawaiʻi <br> Papa helu loli"
Hoʻolawa,"Bay, fishing site, landing, Huelo, Maui. Small rocky bay and a former plantation landing. Ruins of a sugar mill are inland of the bay. Lit., make sufficient."
Hoʻolehua,"Beach, salt-gathering site, Kalaupapa, Molokaʻi. One of five beaches on Kalaupapa Peninsula. Wide, sloping calcareous sand storm beach on the northeast side of Kahiʻu Point. The beach was created by high surf carrying sand inland over the rocky shore. A wide expanse of shallow tidal pools on the west side of Hoʻolehua Beach is the traditional salt-gathering site for the residents of Kalaupapa Peninsula. Lit., swift, expert, strong."
Hoʻona,"Dive site, Keāhole, Hawaiʻi. Small bay on the north side of Keāhole Point that is known for its manta rays and garden eels. Also known as Garden Eel Cove.<br><br>Literally, intoxicating.<br><br> Nā Lepili <br> Tags: Hawaiʻi <br> Papa helu loli"
Huelo,"Island (3.1 acres), Waikolu, Molokaʻi. Part of the Hawaiʻi State Seabird Sanctuary. Lit., tail end, last."
Hukilau,"1. Beach, Lāʻie, Oʻahu. In 1947, members of the Church of Jesus Christ of Latter-Day Saints in Lāʻie put on a hukilau as a fundraiser to replace their chapel, which had been destroyed in a fire. A hukilau is a traditional method of fishing that employs a large group of people to pull a long net on-shore. The hukilau was held in Lāʻie Bay and proved to be so popular with tourists that it continued as a monthly attraction until 1971. One participant, Jack Owens, was so impressed with the event that he wrote the ""Hukilau Song,"" which became a hapa-haole hula standard. Also known as Lāʻie Bay. 2. Beach park, Lāʻie, Oʻahu. Private beach park owned and maintained by Zion Securities at Hukilau Beach. Lit., to pull [a] rope with ti leaves [and a net attached]."
Huleʻia,"National wildlife refuge (238 acres), Nāwiliwili, Kauaʻi. Established in 1973 to include the Huleʻia Stream estuary, a habitat for endangered waterbirds, and Huleʻia Valley. The refuge protects the largest population of kōloa, or Hawaiian ducks, on Kauaʻi.<br>River, Nāwiliwili, Kauaʻi. Navigable river that is accessed from Nāwiliwili Harbor or Niumalu Beach Park. A kind of pumice stone.<br><br> Nā Lepili <br> Tags: Kauaʻi <br> Papa helu loli"
Hulu,"Island (1.5 acres, 80 feet high), Waiheʻe, Maui. Part of the Hawaiʻi State Seabird Sanctuary.<br>Literally, feather.<br> Nā Lepili <br> Tags: Maui <br> Papa helu loli"
Humuhumu,"Beach, point, Kaʻū, Hawaiʻi. Black sand beach on the south side of Humuhumu Point at the base of a small littoral cone. At the end of Road to the Sea.<br><br>Literally, the trigger fish.<br><br> Nā Lepili <br> Tags: Hawaiʻi Kaʻū <br> Papa helu loli"
Hunakai,"Beach, surf site, Kāhala, Oʻahu. Section of Kāhala Beach at the intersection of Kāhala Avenue and Hunakai Street. The surf site is off the right-of-way. Also known as Mothers Beach. Lit., sea foam. Name of a bird, the sanderling (Crocethia alba), a small winter migrant to Hawaiʻi, cinnamon brown with dark markings. The bird was thus named because it runs after receding waves in search of food."
ʻĪlio,"Point, surf site, west coast, Molokaʻi. Northwest extremity of Molokaʻi, the closest point on the island to Oʻahu, and one of two points that define the west end of the island. The other is Lāʻau Point. The surf site is south of the point. Literally, dog.<br> Nā Lepili <br> Tags: Molokaʻi <br> Papa helu loli"
Kaʻā,"Fishpond, Keōmuku, Lānaʻi. One of two precontact fish-ponds on the shore of the former Keōmuku village. Literally, the [aʻā] lava, or the fiery burning one.<br> Nā Lepili <br> Tags: Lānaʻi <br> Papa helu loli"
Kaʻaha,"Camping site, Hawaiʻi Volcanoes National Park, Hawaiʻi. Pocket of black sand in a small inlet in on a wide, flat rocky point at the intersection of the Kāluʻe and Hilina Pali Trails. Lit., the assembly."
Kaʻehu,"Bay, beach, Waiʻehu, Maui. Narrow detrital sand beach on a small bay that fronts Paukūkalo Marsh. Lit., the sea spray."
Kāhala,"Point light, Anahola, Kauaʻi. Light atop a 22-foot pole on the low sea cliffs south of Anahola Beach Park.<br>Artificial reef, Kāhala, Oʻahu. Approximately a mile off the Kāhala Mandarin Oriental Hotel.<br>Beach, Honolulu, Oʻahu. Narrow calcareous sand beach between the Kāhala Mandarin Oriental Hotel and Black Point. The section of beach fronting the hotel, its saltwater lagoon, and its offshore island are man-made. They were created in 1963 during construction of the hotel, which opened as the Kāhala Hilton Hotel in January 1964. The hotel was renovated and reopened as the Kāhala Mandarin Oriental Hotel in March 1996.<br>Beach park, Oʻahu. Popular but officially incorrect name for Waiʻalae Beach Park.<br>Channel, Oʻahu. Natural channel at Waiʻalae Beach Park cut through the reef by Kapakahi Stream.<br><br><br>Literally, amberjack fish.<br><br> Nā Lepili <br> Tags: Kauaʻi Oʻahu <br> Papa helu loli"
Kāhalahala,"Beach, Lumahaʻi, Kauaʻi. East end of Lumahaʻi Beach. Popular swimming site during the summer months. Lit., the complaint."
Kahaloa,"Beach, Waikīkī, Oʻahu. Section of Waikīkī Beach between the Royal Hawaiian and Halekūlani Hotels that was noted for its fragrant limu līpoa, a seaweed. Literally, long place.<br> Nā Lepili <br> Tags: Oʻahu limu <br> Papa helu loli"
Kahana,"1. Beach, Kahana, Maui. Narrow calcareous sand beach that lies within the boundaries of the land division of Kahana. 2. Bay, beach park; surf site, Kahana, Oʻahu. Calcareous sand beach between the mouth of Kahana Stream and the Kahana Boat Ramp. The surf site is a shorebreak on the shallow sandbar fronting the beach. A second surf site identified by the same name is a big-wave, second-reef break off the north point of the bay. 3. Boat ramp, Kahana, Oʻahu. Facilities include a ramp and a vessel washdown area. Also known as Kapaʻeleʻele. 4. State park, Kahana, Oʻahu. Lit., cutting or turning point."
Kāheʻa,"Cove, Hāmākua Poko, Maui. First large, rocky cove east of Hoʻokipa Beach Park. Also known as Turtle Bay. Lit., the red stains or streaks (as at dawn)."
Kāhili,"Beach, quarry, Kīlauea, Kauaʻi. Long calcareous sand beach at the head of Kīlauea Bay. Vegetated dunes line the backshore and Kīlauea Stream crosses the west end of the beach. The beach was named for the Kāhili Quarry at the eastern point of the bay. The 400-foot boulder revetment at the point was completed in 1971 to protect the quarry equipment from high surf.<br>Beach, Kalaupapa, Molokaʻi. One of five beaches on Kalaupapa Peninsula. Long, wide, steep strip of coral rubble and calcareous sand on the west side of the airport pavilion. Kāhili is a storm beach that was created by high surf carrying the beach material inland over the rocks between the beach and the ocean. Kāhili is probably short for Kāhiliʻopua, a chiefess of the former village at ʻĪliopiʻi, who lived in the present airport area with only female retainers. From a rock chair called Kanohopōhaku o Kāhiliʻopua, she acted as an intermediary for men seeking wives or companions. The rock is near the airport gate.<br><br><br>Literally, the feather standard.<br><br> Nā Lepili <br> Tags: Kauaʻi Molokaʻi <br> Papa helu loli"
Kahiʻu,"Point, Kalaupapa, Molokaʻi. Northernmost point on Kalaupapa Peninsula. Lit., the fish tail."
